"Story","Title","Result","Date","Stability","Duration (s)"
"Pet curd test","This will create new user","SUCCESS","2023-01-02T23:24:05.731Z[Europe/London]","0.0","4.18"
"Pet curd test","This test will Update the user information","SUCCESS","2023-01-02T23:24:09.928Z[Europe/London]","0.0","1.04"
"Pet curd test","Delete the pet and verify if the user is deleted!","SUCCESS","2023-01-02T23:24:10.966Z[Europe/London]","0.0","1.03"
